1787529600.000000 IP 10.70.0.66.40000 > 10.70.0.53.53: UDP, length 49
1787531160.001000 IP 10.70.0.53.53 > 10.70.0.66.40026: UDP, length 65
1787531220.000000 IP 10.70.0.66.40027 > 10.70.0.53.53: UDP, length 49
1787531220.001000 IP 10.70.0.53.53 > 10.70.0.66.40027: UDP, length 65
1787531280.000000 IP 10.70.0.66.40028 > 10.70.0.53.53: UDP, length 49
1787531280.001000 IP 10.70.0.53.53 > 10.70.0.66.40028: UDP, length 65
1787531340.000000 IP 10.70.0.66.40029 > 10.70.0.53.53: UDP, length 49
1787531340.001000 IP 10.70.0.53.53 > 10.70.0.66.40029: UDP, length 65
1787531400.000000 IP 10.70.0.66.40030 > 10.70.0.53.53: UDP, length 49
1787531400.001000 IP 10.70.0.53.53 > 10.70.0.66.40030: UDP, length 65
1787531460.000000 IP 10.70.0.66.40031 > 10.70.0.53.53: UDP, length 49
1787531460.001000 IP 10.70.0.53.53 > 10.70.0.66.40031: UDP, length 65
1787531520.000000 IP 10.70.0.66.40032 > 10.70.0.53.53: UDP, length 49
1787531520.001000 IP 10.70.0.53.53 > 10.70.0.66.40032: UDP, length 65
1787531580.000000 IP 10.70.0.66.40033 > 10.70.0.53.53: UDP, length 49
1787531580.001000 IP 10.70.0.53.53 > 10.70.0.66.40033: UDP, length 65
1787531640.000000 IP 10.70.0.66.40034 > 10.70.0.53.53: UDP, length 49
1787531640.001000 IP 10.70.0.53.53 > 10.70.0.66.40034: UDP, length 65
1787531700.000000 IP 10.70.0.66.40035 > 10.70.0.53.53: UDP, length 49
1787531700.001000 IP 10.70.0.53.53 > 10.70.0.66.40035: UDP, length 65
1787531760.000000 IP 10.70.0.66.40036 > 10.70.0.53.53: UDP, length 49
1787531760.001000 IP 10.70.0.53.53 > 10.70.0.66.40036: UDP, length 65
1787531820.000000 IP 10.70.0.66.40037 > 10.70.0.53.53: UDP, length 49
1787531820.001000 IP 10.70.0.53.53 > 10.70.0.66.40037: UDP, length 65
1787531880.000000 IP 10.70.0.66.40038 > 10.70.0.53.53: UDP, length 49
1787531880.001000 IP 10.70.0.53.53 > 10.70.0.66.40038: UDP, length 65
1787531940.000000 IP 10.70.0.66.40039 > 10.70.0.53.53: UDP, length 49
1787531940.001000 IP 10.70.0.53.53 > 10.70.0.66.40039: UDP, length 65
1787532000.000000 IP 10.70.0.66.40040 > 10.70.0.53.53: UDP, length 49
1787532000.001000 IP 10.70.0.53.53 > 10.70.0.66.40040: UDP, length 65
1787532060.000000 IP 10.70.0.66.40041 > 10.70.0.53.53: UDP, length 49
1787532060.001000 IP 10.70.0.53.53 > 10.70.0.66.40041: UDP, length 65
1787532120.000000 IP 10.70.0.66.40042 > 10.70.0.53.53: UDP, length 49
1787532120.001000 IP 10.70.0.53.53 > 10.70.0.66.40042: UDP, length 65
1787532180.000000 IP 10.70.0.66.40043 > 10.70.0.53.53: UDP, length 49
1787532180.001000 IP 10.70.0.53.53 > 10.70.0.66.40043: UDP, length 65
1787532240.000000 IP 10.70.0.66.40044 > 10.70.0.53.53: UDP, length 49
1787532240.001000 IP 10.70.0.53.53 > 10.70.0.66.40044: UDP, length 65
1787532300.000000 IP 10.70.0.66.40045 > 10.70.0.53.53: UDP, length 49
1787532300.001000 IP 10.70.0.53.53 > 10.70.0.66.40045: UDP, length 65
1787532360.000000 IP 10.70.0.66.40046 > 10.70.0.53.53: UDP, length 49
1787532360.001000 IP 10.70.0.53.53 > 10.70.0.66.40046: UDP, length 65
1787532420.000000 IP 10.70.0.66.40047 > 10.70.0.53.53: UDP, length 49
1787532420.001000 IP 10.70.0.53.53 > 10.70.0.66.40047: UDP, length 65
1787532480.000000 IP 10.70.0.66.40048 > 10.70.0.53.53: UDP, length 49
1787532480.001000 IP 10.70.0.53.53 > 10.70.0.66.40048: UDP, length 65
1787532540.000000 IP 10.70.0.66.40049 > 10.70.0.53.53: UDP, length 49
1787532540.001000 IP 10.70.0.53.53 > 10.70.0.66.40049: UDP, length 65
1787532600.000000 IP 10.70.0.66.40050 > 10.70.0.53.53: UDP, length 49
1787532600.001000 IP 10.70.0.53.53 > 10.70.0.66.40050: UDP, length 65
1787532660.000000 IP 10.70.0.66.40051 > 10.70.0.53.53: UDP, length 49
1787532660.001000 IP 10.70.0.53.53 > 10.70.0.66.40051: UDP, length 65
1787532720.000000 IP 10.70.0.66.40052 > 10.70.0.53.53: UDP, length 49
1787532720.001000 IP 10.70.0.53.53 > 10.70.0.66.40052: UDP, length 65
1787532780.000000 IP 10.70.0.66.40053 > 10.70.0.53.53: UDP, length 49
1787532780.001000 IP 10.70.0.53.53 > 10.70.0.66.40053: UDP, length 65
1787532840.000000 IP 10.70.0.66.40054 > 10.70.0.53.53: UDP, length 49
1787532840.001000 IP 10.70.0.53.53 > 10.70.0.66.40054: UDP, length 65
1787532900.000000 IP 10.70.0.66.40055 > 10.70.0.53.53: UDP, length 49
1787532900.001000 IP 10.70.0.53.53 > 10.70.0.66.40055: UDP, length 65
1787532960.000000 IP 10.70.0.66.40056 > 10.70.0.53.53: UDP, length 49
1787532960.001000 IP 10.70.0.53.53 > 10.70.0.66.40056: UDP, length 65
1787533020.000000 IP 10.70.0.66.40057 > 10.70.0.53.53: UDP, length 49
1787533020.001000 IP 10.70.0.53.53 > 10.70.0.66.40057: UDP, length 65
1787533080.000000 IP 10.70.0.66.40058 > 10.70.0.53.53: UDP, length 49
1787533080.001000 IP 10.70.0.53.53 > 10.70.0.66.40058: UDP, length 65
1787533140.000000 IP 10.70.0.66.40059 > 10.70.0.53.53: UDP, length 49
1787533140.001000 IP 10.70.0.53.53 > 10.70.0.66.40059: UDP, length 65
1787533200.000000 IP 10.70.0.66.40060 > 10.70.0.53.53: UDP, length 49
1787533200.001000 IP 10.70.0.53.53 > 10.70.0.66.40060: UDP, length 65
1787533260.000000 IP 10.70.0.66.40061 > 10.70.0.53.53: UDP, length 49
1787533260.001000 IP 10.70.0.53.53 > 10.70.0.66.40061: UDP, length 65
1787533320.000000 IP 10.70.0.66.40062 > 10.70.0.53.53: UDP, length 49
1787533320.001000 IP 10.70.0.53.53 > 10.70.0.66.40062: UDP, length 65
1787533380.000000 IP 10.70.0.66.40063 > 10.70.0.53.53: UDP, length 49
1787533380.001000 IP 10.70.0.53.53 > 10.70.0.66.40063: UDP, length 65
1787533440.000000 IP 10.70.0.66.40064 > 10.70.0.53.53: UDP, length 49
1787533440.001000 IP 10.70.0.53.53 > 10.70.0.66.40064: UDP, length 65
1787533500.000000 IP 10.70.0.66.40065 > 10.70.0.53.53: UDP, length 49
1787533500.001000 IP 10.70.0.53.53 > 10.70.0.66.40065: UDP, length 65
1787533560.000000 IP 10.70.0.66.40066 > 10.70.0.53.53: UDP, length 49
1787533560.001000 IP 10.70.0.53.53 > 10.70.0.66.40066: UDP, length 65
1787533620.000000 IP 10.70.0.66.40067 > 10.70.0.53.53: UDP, length 49
1787533620.001000 IP 10.70.0.53.53 > 10.70.0.66.40067: UDP, length 65
1787533680.000000 IP 10.70.0.66.40068 > 10.70.0.53.53: UDP, length 49
1787533680.001000 IP 10.70.0.53.53 > 10.70.0.66.40068: UDP, length 65
1787533740.000000 IP 10.70.0.66.40069 > 10.70.0.53.53: UDP, length 49
1787533740.001000 IP 10.70.0.53.53 > 10.70.0.66.40069: UDP, length 65
1787533800.000000 IP 10.70.0.66.40070 > 10.70.0.53.53: UDP, length 49
1787533800.001000 IP 10.70.0.53.53 > 10.70.0.66.40070: UDP, length 65
1787533860.000000 IP 10.70.0.66.40071 > 10.70.0.53.53: UDP, length 49
1787533860.001000 IP 10.70.0.53.53 > 10.70.0.66.40071: UDP, length 65
1787533920.000000 IP 10.70.0.66.40072 > 10.70.0.53.53: UDP, length 49
1787533920.001000 IP 10.70.0.53.53 > 10.70.0.66.40072: UDP, length 65
1787533980.000000 IP 10.70.0.66.40073 > 10.70.0.53.53: UDP, length 49
1787533980.001000 IP 10.70.0.53.53 > 10.70.0.66.40073: UDP, length 65
1787534040.000000 IP 10.70.0.66.40074 > 10.70.0.53.53: UDP, length 49
1787534040.001000 IP 10.70.0.53.53 > 10.70.0.66.40074: UDP, length 65
1787534100.000000 IP 10.70.0.66.40075 > 10.70.0.53.53: UDP, length 49
1787534100.001000 IP 10.70.0.53.53 > 10.70.0.66.40075: UDP, length 65
1787534160.000000 IP 10.70.0.66.40076 > 10.70.0.53.53: UDP, length 49
1787534160.001000 IP 10.70.0.53.53 > 10.70.0.66.40076: UDP, length 65
1787534220.000000 IP 10.70.0.66.40077 > 10.70.0.53.53: UDP, length 49
1787534220.001000 IP 10.70.0.53.53 > 10.70.0.66.40077: UDP, length 65
1787534280.000000 IP 10.70.0.66.40078 > 10.70.0.53.53: UDP, length 49
1787534280.001000 IP 10.70.0.53.53 > 10.70.0.66.40078: UDP, length 65
1787534340.000000 IP 10.70.0.66.40079 > 10.70.0.53.53: UDP, length 49
1787534340.001000 IP 10.70.0.53.53 > 10.70.0.66.40079: UDP, length 65
1787534400.000000 IP 10.70.0.66.40080 > 10.70.0.53.53: UDP, length 49
1787534400.001000 IP 10.70.0.53.53 > 10.70.0.66.40080: UDP, length 65
1787534460.000000 IP 10.70.0.66.40081 > 10.70.0.53.53: UDP, length 49
1787534460.001000 IP 10.70.0.53.53 > 10.70.0.66.40081: UDP, length 65
1787534520.000000 IP 10.70.0.66.40082 > 10.70.0.53.53: UDP, length 49
1787534520.001000 IP 10.70.0.53.53 > 10.70.0.66.40082: UDP, length 65
1787534580.000000 IP 10.70.0.66.40083 > 10.70.0.53.53: UDP, length 49
1787534580.001000 IP 10.70.0.53.53 > 10.70.0.66.40083: UDP, length 65
1787534640.000000 IP 10.70.0.66.40084 > 10.70.0.53.53: UDP, length 49
1787534640.001000 IP 10.70.0.53.53 > 10.70.0.66.40084: UDP, length 65
1787534700.000000 IP 10.70.0.66.40085 > 10.70.0.53.53: UDP, length 49
1787534700.001000 IP 10.70.0.53.53 > 10.70.0.66.40085: UDP, length 65
1787534760.000000 IP 10.70.0.66.40086 > 10.70.0.53.53: UDP, length 49
1787534760.001000 IP 10.70.0.53.53 > 10.70.0.66.40086: UDP, length 65
1787534820.000000 IP 10.70.0.66.40087 > 10.70.0.53.53: UDP, length 49
1787534820.001000 IP 10.70.0.53.53 > 10.70.0.66.40087: UDP, length 65
1787534880.000000 IP 10.70.0.66.40088 > 10.70.0.53.53: UDP, length 49
1787534880.001000 IP 10.70.0.53.53 > 10.70.0.66.40088: UDP, length 65
1787534940.000000 IP 10.70.0.66.40089 > 10.70.0.53.53: UDP, length 49
1787534940.001000 IP 10.70.0.53.53 > 10.70.0.66.40089: UDP, length 65
1787535000.000000 IP 10.70.0.66.40090 > 10.70.0.53.53: UDP, length 49
1787535000.001000 IP 10.70.0.53.53 > 10.70.0.66.40090: UDP, length 65
1787535060.000000 IP 10.70.0.66.40091 > 10.70.0.53.53: UDP, length 49
1787535060.001000 IP 10.70.0.53.53 > 10.70.0.66.40091: UDP, length 65
1787535120.000000 IP 10.70.0.66.40092 > 10.70.0.53.53: UDP, length 49
1787535120.001000 IP 10.70.0.53.53 > 10.70.0.66.40092: UDP, length 65
1787535180.000000 IP 10.70.0.66.40093 > 10.70.0.53.53: UDP, length 49
1787535180.001000 IP 10.70.0.53.53 > 10.70.0.66.40093: UDP, length 65
1787535240.000000 IP 10.70.0.66.40094 > 10.70.0.53.53: UDP, length 49
1787535240.001000 IP 10.70.0.53.53 > 10.70.0.66.40094: UDP, length 65
1787535300.000000 IP 10.70.0.66.40095 > 10.70.0.53.53: UDP, length 49
1787535300.001000 IP 10.70.0.53.53 > 10.70.0.66.40095: UDP, length 65
1787535360.000000 IP 10.70.0.66.40096 > 10.70.0.53.53: UDP, length 49
1787535360.001000 IP 10.70.0.53.53 > 10.70.0.66.40096: UDP, length 65
1787535420.000000 IP 10.70.0.66.40097 > 10.70.0.53.53: UDP, length 49
1787535420.001000 IP 10.70.0.53.53 > 10.70.0.66.40097: UDP, length 65
1787535480.000000 IP 10.70.0.66.40098 > 10.70.0.53.53: UDP, length 49
1787535480.001000 IP 10.70.0.53.53 > 10.70.0.66.40098: UDP, length 65
1787535540.000000 IP 10.70.0.66.40099 > 10.70.0.53.53: UDP, length 49
1787535540.001000 IP 10.70.0.53.53 > 10.70.0.66.40099: UDP, length 65
1787535600.000000 IP 10.70.0.66.40100 > 10.70.0.53.53: UDP, length 49
1787535600.001000 IP 10.70.0.53.53 > 10.70.0.66.40100: UDP, length 65
1787535660.000000 IP 10.70.0.66.40101 > 10.70.0.53.53: UDP, length 49
1787535660.001000 IP 10.70.0.53.53 > 10.70.0.66.40101: UDP, length 65
1787535720.000000 IP 10.70.0.66.40102 > 10.70.0.53.53: UDP, length 49
1787535720.001000 IP 10.70.0.53.53 > 10.70.0.66.40102: UDP, length 65
1787535780.000000 IP 10.70.0.66.40103 > 10.70.0.53.53: UDP, length 49
1787535780.001000 IP 10.70.0.53.53 > 10.70.0.66.40103: UDP, length 65
1787535840.000000 IP 10.70.0.66.40104 > 10.70.0.53.53: UDP, length 49
1787535840.001000 IP 10.70.0.53.53 > 10.70.0.66.40104: UDP, length 65
1787535900.000000 IP 10.70.0.66.40105 > 10.70.0.53.53: UDP, length 49
1787535900.001000 IP 10.70.0.53.53 > 10.70.0.66.40105: UDP, length 65
1787535960.000000 IP 10.70.0.66.40106 > 10.70.0.53.53: UDP, length 49
1787535960.001000 IP 10.70.0.53.53 > 10.70.0.66.40106: UDP, length 65
1787536020.000000 IP 10.70.0.66.40107 > 10.70.0.53.53: UDP, length 49
1787536020.001000 IP 10.70.0.53.53 > 10.70.0.66.40107: UDP, length 65
1787536080.000000 IP 10.70.0.66.40108 > 10.70.0.53.53: UDP, length 49
1787536080.001000 IP 10.70.0.53.53 > 10.70.0.66.40108: UDP, length 65
1787536140.000000 IP 10.70.0.66.40109 > 10.70.0.53.53: UDP, length 49
1787536140.001000 IP 10.70.0.53.53 > 10.70.0.66.40109: UDP, length 65
1787536200.000000 IP 10.70.0.66.40110 > 10.70.0.53.53: UDP, length 49
1787536200.001000 IP 10.70.0.53.53 > 10.70.0.66.40110: UDP, length 65
1787536260.000000 IP 10.70.0.66.40111 > 10.70.0.53.53: UDP, length 49
1787536260.001000 IP 10.70.0.53.53 > 10.70.0.66.40111: UDP, length 65
1787536320.000000 IP 10.70.0.66.40112 > 10.70.0.53.53: UDP, length 49
1787536320.001000 IP 10.70.0.53.53 > 10.70.0.66.40112: UDP, length 65
1787536380.000000 IP 10.70.0.66.40113 > 10.70.0.53.53: UDP, length 49
1787536380.001000 IP 10.70.0.53.53 > 10.70.0.66.40113: UDP, length 65
1787536440.000000 IP 10.70.0.66.40114 > 10.70.0.53.53: UDP, length 49
1787536440.001000 IP 10.70.0.53.53 > 10.70.0.66.40114: UDP, length 65
1787536500.000000 IP 10.70.0.66.40115 > 10.70.0.53.53: UDP, length 49
1787536500.001000 IP 10.70.0.53.53 > 10.70.0.66.40115: UDP, length 65
1787536560.000000 IP 10.70.0.66.40116 > 10.70.0.53.53: UDP, length 49
1787536560.001000 IP 10.70.0.53.53 > 10.70.0.66.40116: UDP, length 65
1787536620.000000 IP 10.70.0.66.40117 > 10.70.0.53.53: UDP, length 49
1787536620.001000 IP 10.70.0.53.53 > 10.70.0.66.40117: UDP, length 65
1787536680.000000 IP 10.70.0.66.40118 > 10.70.0.53.53: UDP, length 49
1787536680.001000 IP 10.70.0.53.53 > 10.70.0.66.40118: UDP, length 65
1787536740.000000 IP 10.70.0.66.40119 > 10.70.0.53.53: UDP, length 49
1787536740.001000 IP 10.70.0.53.53 > 10.70.0.66.40119: UDP, length 65
1787537400.000000 IP 10.70.0.66.40120 > 203.0.113.66.443: tcp 0
1787537400.001000 IP 203.0.113.66.443 > 10.70.0.66.40120: tcp 0
1787537400.002000 IP 10.70.0.66.40120 > 203.0.113.66.443: tcp 0
1787537400.003000 IP 10.70.0.66.40120 > 203.0.113.66.443: tcp 50085
1787537400.004000 IP 203.0.113.66.443 > 10.70.0.66.40120: tcp 2
1787537400.005000 IP 10.70.0.66.40120 > 203.0.113.66.443: tcp 0
1787537400.006000 IP 203.0.113.66.443 > 10.70.0.66.40120: tcp 0
1787537410.000000 IP 10.70.0.66.40121 > 203.0.113.66.443: tcp 0
1787537410.001000 IP 203.0.113.66.443 > 10.70.0.66.40121: tcp 0
1787537410.002000 IP 10.70.0.66.40121 > 203.0.113.66.443: tcp 0
1787537410.003000 IP 10.70.0.66.40121 > 203.0.113.66.443: tcp 50085
1787537410.004000 IP 203.0.113.66.443 > 10.70.0.66.40121: tcp 2
1787537410.005000 IP 10.70.0.66.40121 > 203.0.113.66.443: tcp 0
1787537410.006000 IP 203.0.113.66.443 > 10.70.0.66.40121: tcp 0
1787537420.000000 IP 10.70.0.66.40122 > 203.0.113.66.443: tcp 0
1787537420.001000 IP 203.0.113.66.443 > 10.70.0.66.40122: tcp 0
1787537420.002000 IP 10.70.0.66.40122 > 203.0.113.66.443: tcp 0
1787537420.003000 IP 10.70.0.66.40122 > 203.0.113.66.443: tcp 50085
1787537420.004000 IP 203.0.113.66.443 > 10.70.0.66.40122: tcp 2
1787537420.005000 IP 10.70.0.66.40122 > 203.0.113.66.443: tcp 0
1787537420.006000 IP 203.0.113.66.443 > 10.70.0.66.40122: tcp 0
1787537430.000000 IP 10.70.0.66.40123 > 203.0.113.66.443: tcp 0
1787537430.001000 IP 203.0.113.66.443 > 10.70.0.66.40123: tcp 0
1787537430.002000 IP 10.70.0.66.40123 > 203.0.113.66.443: tcp 0
1787537430.003000 IP 10.70.0.66.40123 > 203.0.113.66.443: tcp 50085
1787537430.004000 IP 203.0.113.66.443 > 10.70.0.66.40123: tcp 2
1787537430.005000 IP 10.70.0.66.40123 > 203.0.113.66.443: tcp 0
1787537430.006000 IP 203.0.113.66.443 > 10.70.0.66.40123: tcp 0
1787537440.000000 IP 10.70.0.66.40124 > 203.0.113.66.443: tcp 0
1787537440.001000 IP 203.0.113.66.443 > 10.70.0.66.40124: tcp 0
1787537440.002000 IP 10.70.0.66.40124 > 203.0.113.66.443: tcp 0
1787537440.003000 IP 10.70.0.66.40124 > 203.0.113.66.443: tcp 50085
1787537440.004000 IP 203.0.113.66.443 > 10.70.0.66.40124: tcp 2
1787537440.005000 IP 10.70.0.66.40124 > 203.0.113.66.443: tcp 0
1787537440.006000 IP 203.0.113.66.443 > 10.70.0.66.40124: tcp 0
1787537450.000000 IP 10.70.0.66.40125 > 203.0.113.66.443: tcp 0
1787537450.001000 IP 203.0.113.66.443 > 10.70.0.66.40125: tcp 0
1787537450.002000 IP 10.70.0.66.40125 > 203.0.113.66.443: tcp 0
1787537450.003000 IP 10.70.0.66.40125 > 203.0.113.66.443: tcp 50085
1787537450.004000 IP 203.0.113.66.443 > 10.70.0.66.40125: tcp 2
1787537450.005000 IP 10.70.0.66.40125 > 203.0.113.66.443: tcp 0
1787537450.006000 IP 203.0.113.66.443 > 10.70.0.66.40125: tcp 0
1787537460.000000 IP 10.70.0.66.40126 > 203.0.113.66.443: tcp 0
1787537460.001000 IP 203.0.113.66.443 > 10.70.0.66.40126: tcp 0
1787537460.002000 IP 10.70.0.66.40126 > 203.0.113.66.443: tcp 0
1787537460.003000 IP 10.70.0.66.40126 > 203.0.113.66.443: tcp 50085
1787537460.004000 IP 203.0.113.66.443 > 10.70.0.66.40126: tcp 2
1787537460.005000 IP 10.70.0.66.40126 > 203.0.113.66.443: tcp 0
1787537460.006000 IP 203.0.113.66.443 > 10.70.0.66.40126: tcp 0
1787537470.000000 IP 10.70.0.66.40127 > 203.0.113.66.443: tcp 0
1787537470.001000 IP 203.0.113.66.443 > 10.70.0.66.40127: tcp 0
1787537470.002000 IP 10.70.0.66.40127 > 203.0.113.66.443: tcp 0
1787537470.003000 IP 10.70.0.66.40127 > 203.0.113.66.443: tcp 50085
1787537470.004000 IP 203.0.113.66.443 > 10.70.0.66.40127: tcp 2
1787537470.005000 IP 10.70.0.66.40127 > 203.0.113.66.443: tcp 0
1787537470.006000 IP 203.0.113.66.443 > 10.70.0.66.40127: tcp 0
1787537480.000000 IP 10.70.0.66.40128 > 203.0.113.66.443: tcp 0
1787537480.001000 IP 203.0.113.66.443 > 10.70.0.66.40128: tcp 0
1787537480.002000 IP 10.70.0.66.40128 > 203.0.113.66.443: tcp 0
1787537480.003000 IP 10.70.0.66.40128 > 203.0.113.66.443: tcp 50085
1787537480.004000 IP 203.0.113.66.443 > 10.70.0.66.40128: tcp 2
1787537480.005000 IP 10.70.0.66.40128 > 203.0.113.66.443: tcp 0
1787537480.006000 IP 203.0.113.66.443 > 10.70.0.66.40128: tcp 0
1787537490.000000 IP 10.70.0.66.40129 > 203.0.113.66.443: tcp 0
1787537490.001000 IP 203.0.113.66.443 > 10.70.0.66.40129: tcp 0
1787537490.002000 IP 10.70.0.66.40129 > 203.0.113.66.443: tcp 0
1787537490.003000 IP 10.70.0.66.40129 > 203.0.113.66.443: tcp 50085
1787537490.004000 IP 203.0.113.66.443 > 10.70.0.66.40129: tcp 2
1787537490.005000 IP 10.70.0.66.40129 > 203.0.113.66.443: tcp 0
1787537490.006000 IP 203.0.113.66.443 > 10.70.0.66.40129: tcp 0
1787537500.000000 IP 10.70.0.66.40130 > 203.0.113.66.443: tcp 0
1787537500.001000 IP 203.0.113.66.443 > 10.70.0.66.40130: tcp 0
1787537500.002000 IP 10.70.0.66.40130 > 203.0.113.66.443: tcp 0
1787537500.003000 IP 10.70.0.66.40130 > 203.0.113.66.443: tcp 50086
1787537500.004000 IP 203.0.113.66.443 > 10.70.0.66.40130: tcp 2
1787537500.005000 IP 10.70.0.66.40130 > 203.0.113.66.443: tcp 0
1787537500.006000 IP 203.0.113.66.443 > 10.70.0.66.40130: tcp 0
1787537510.000000 IP 10.70.0.66.40131 > 203.0.113.66.443: tcp 0
1787537510.001000 IP 203.0.113.66.443 > 10.70.0.66.40131: tcp 0
1787537510.002000 IP 10.70.0.66.40131 > 203.0.113.66.443: tcp 0
1787537510.003000 IP 10.70.0.66.40131 > 203.0.113.66.443: tcp 50086
1787537510.004000 IP 203.0.113.66.443 > 10.70.0.66.40131: tcp 2
1787537510.005000 IP 10.70.0.66.40131 > 203.0.113.66.443: tcp 0
1787537510.006000 IP 203.0.113.66.443 > 10.70.0.66.40131: tcp 0
1787537520.000000 IP 10.70.0.66.40132 > 203.0.113.66.443: tcp 0
1787537520.001000 IP 203.0.113.66.443 > 10.70.0.66.40132: tcp 0
1787537520.002000 IP 10.70.0.66.40132 > 203.0.113.66.443: tcp 0
1787537520.003000 IP 10.70.0.66.40132 > 203.0.113.66.443: tcp 50086
1787537520.004000 IP 203.0.113.66.443 > 10.70.0.66.40132: tcp 2
1787537520.005000 IP 10.70.0.66.40132 > 203.0.113.66.443: tcp 0
1787537520.006000 IP 203.0.113.66.443 > 10.70.0.66.40132: tcp 0
1787537530.000000 IP 10.70.0.66.40133 > 203.0.113.66.443: tcp 0
1787537530.001000 IP 203.0.113.66.443 > 10.70.0.66.40133: tcp 0
1787537530.002000 IP 10.70.0.66.40133 > 203.0.113.66.443: tcp 0
1787537530.003000 IP 10.70.0.66.40133 > 203.0.113.66.443: tcp 50086
1787537530.004000 IP 203.0.113.66.443 > 10.70.0.66.40133: tcp 2
