"conn_line"	"phase"	"originator"	"originator_port"	"responder"	"responder_port"	"protocol"	"start_epoch"	"last_epoch"	"start_utc"	"last_packet_utc"	"first_packet"	"last_packet"	"out_payload_bytes"	"in_payload_bytes"	"out_ip_bytes"	"in_ip_bytes"	"out_packets"	"in_packets"
"36"	"dns"	"10.70.0.66"	"40035"	"10.70.0.53"	"53"	"udp"	"1787531700.0"	"1787531700.001"	"2026-08-24T00:35:00+00:00"	"2026-08-24T00:35:00.001000+00:00"	"71"	"72"	"49"	"65"	"77"	"93"	"1"	"1"
"37"	"dns"	"10.70.0.66"	"40036"	"10.70.0.53"	"53"	"udp"	"1787531760.0"	"1787531760.001"	"2026-08-24T00:36:00+00:00"	"2026-08-24T00:36:00.001000+00:00"	"73"	"74"	"49"	"65"	"77"	"93"	"1"	"1"
"38"	"dns"	"10.70.0.66"	"40037"	"10.70.0.53"	"53"	"udp"	"1787531820.0"	"1787531820.001"	"2026-08-24T00:37:00+00:00"	"2026-08-24T00:37:00.001000+00:00"	"75"	"76"	"49"	"65"	"77"	"93"	"1"	"1"
"39"	"dns"	"10.70.0.66"	"40038"	"10.70.0.53"	"53"	"udp"	"1787531880.0"	"1787531880.001"	"2026-08-24T00:38:00+00:00"	"2026-08-24T00:38:00.001000+00:00"	"77"	"78"	"49"	"65"	"77"	"93"	"1"	"1"
"40"	"dns"	"10.70.0.66"	"40039"	"10.70.0.53"	"53"	"udp"	"1787531940.0"	"1787531940.001"	"2026-08-24T00:39:00+00:00"	"2026-08-24T00:39:00.001000+00:00"	"79"	"80"	"49"	"65"	"77"	"93"	"1"	"1"
"41"	"dns"	"10.70.0.66"	"40040"	"10.70.0.53"	"53"	"udp"	"1787532000.0"	"1787532000.001"	"2026-08-24T00:40:00+00:00"	"2026-08-24T00:40:00.001000+00:00"	"81"	"82"	"49"	"65"	"77"	"93"	"1"	"1"
"42"	"dns"	"10.70.0.66"	"40041"	"10.70.0.53"	"53"	"udp"	"1787532060.0"	"1787532060.001"	"2026-08-24T00:41:00+00:00"	"2026-08-24T00:41:00.001000+00:00"	"83"	"84"	"49"	"65"	"77"	"93"	"1"	"1"
"43"	"dns"	"10.70.0.66"	"40042"	"10.70.0.53"	"53"	"udp"	"1787532120.0"	"1787532120.001"	"2026-08-24T00:42:00+00:00"	"2026-08-24T00:42:00.001000+00:00"	"85"	"86"	"49"	"65"	"77"	"93"	"1"	"1"
"44"	"dns"	"10.70.0.66"	"40043"	"10.70.0.53"	"53"	"udp"	"1787532180.0"	"1787532180.001"	"2026-08-24T00:43:00+00:00"	"2026-08-24T00:43:00.001000+00:00"	"87"	"88"	"49"	"65"	"77"	"93"	"1"	"1"
"45"	"dns"	"10.70.0.66"	"40044"	"10.70.0.53"	"53"	"udp"	"1787532240.0"	"1787532240.001"	"2026-08-24T00:44:00+00:00"	"2026-08-24T00:44:00.001000+00:00"	"89"	"90"	"49"	"65"	"77"	"93"	"1"	"1"
"46"	"dns"	"10.70.0.66"	"40045"	"10.70.0.53"	"53"	"udp"	"1787532300.0"	"1787532300.001"	"2026-08-24T00:45:00+00:00"	"2026-08-24T00:45:00.001000+00:00"	"91"	"92"	"49"	"65"	"77"	"93"	"1"	"1"
"47"	"dns"	"10.70.0.66"	"40046"	"10.70.0.53"	"53"	"udp"	"1787532360.0"	"1787532360.001"	"2026-08-24T00:46:00+00:00"	"2026-08-24T00:46:00.001000+00:00"	"93"	"94"	"49"	"65"	"77"	"93"	"1"	"1"
"48"	"dns"	"10.70.0.66"	"40047"	"10.70.0.53"	"53"	"udp"	"1787532420.0"	"1787532420.001"	"2026-08-24T00:47:00+00:00"	"2026-08-24T00:47:00.001000+00:00"	"95"	"96"	"49"	"65"	"77"	"93"	"1"	"1"
"49"	"dns"	"10.70.0.66"	"40048"	"10.70.0.53"	"53"	"udp"	"1787532480.0"	"1787532480.001"	"2026-08-24T00:48:00+00:00"	"2026-08-24T00:48:00.001000+00:00"	"97"	"98"	"49"	"65"	"77"	"93"	"1"	"1"
"50"	"dns"	"10.70.0.66"	"40049"	"10.70.0.53"	"53"	"udp"	"1787532540.0"	"1787532540.001"	"2026-08-24T00:49:00+00:00"	"2026-08-24T00:49:00.001000+00:00"	"99"	"100"	"49"	"65"	"77"	"93"	"1"	"1"
"51"	"dns"	"10.70.0.66"	"40050"	"10.70.0.53"	"53"	"udp"	"1787532600.0"	"1787532600.001"	"2026-08-24T00:50:00+00:00"	"2026-08-24T00:50:00.001000+00:00"	"101"	"102"	"49"	"65"	"77"	"93"	"1"	"1"
"52"	"dns"	"10.70.0.66"	"40051"	"10.70.0.53"	"53"	"udp"	"1787532660.0"	"1787532660.001"	"2026-08-24T00:51:00+00:00"	"2026-08-24T00:51:00.001000+00:00"	"103"	"104"	"49"	"65"	"77"	"93"	"1"	"1"
"53"	"dns"	"10.70.0.66"	"40052"	"10.70.0.53"	"53"	"udp"	"1787532720.0"	"1787532720.001"	"2026-08-24T00:52:00+00:00"	"2026-08-24T00:52:00.001000+00:00"	"105"	"106"	"49"	"65"	"77"	"93"	"1"	"1"
"54"	"dns"	"10.70.0.66"	"40053"	"10.70.0.53"	"53"	"udp"	"1787532780.0"	"1787532780.001"	"2026-08-24T00:53:00+00:00"	"2026-08-24T00:53:00.001000+00:00"	"107"	"108"	"49"	"65"	"77"	"93"	"1"	"1"
"55"	"dns"	"10.70.0.66"	"40054"	"10.70.0.53"	"53"	"udp"	"1787532840.0"	"1787532840.001"	"2026-08-24T00:54:00+00:00"	"2026-08-24T00:54:00.001000+00:00"	"109"	"110"	"49"	"65"	"77"	"93"	"1"	"1"
"56"	"dns"	"10.70.0.66"	"40055"	"10.70.0.53"	"53"	"udp"	"1787532900.0"	"1787532900.001"	"2026-08-24T00:55:00+00:00"	"2026-08-24T00:55:00.001000+00:00"	"111"	"112"	"49"	"65"	"77"	"93"	"1"	"1"
"57"	"dns"	"10.70.0.66"	"40056"	"10.70.0.53"	"53"	"udp"	"1787532960.0"	"1787532960.001"	"2026-08-24T00:56:00+00:00"	"2026-08-24T00:56:00.001000+00:00"	"113"	"114"	"49"	"65"	"77"	"93"	"1"	"1"
"58"	"dns"	"10.70.0.66"	"40057"	"10.70.0.53"	"53"	"udp"	"1787533020.0"	"1787533020.001"	"2026-08-24T00:57:00+00:00"	"2026-08-24T00:57:00.001000+00:00"	"115"	"116"	"49"	"65"	"77"	"93"	"1"	"1"
"59"	"dns"	"10.70.0.66"	"40058"	"10.70.0.53"	"53"	"udp"	"1787533080.0"	"1787533080.001"	"2026-08-24T00:58:00+00:00"	"2026-08-24T00:58:00.001000+00:00"	"117"	"118"	"49"	"65"	"77"	"93"	"1"	"1"
"60"	"dns"	"10.70.0.66"	"40059"	"10.70.0.53"	"53"	"udp"	"1787533140.0"	"1787533140.001"	"2026-08-24T00:59:00+00:00"	"2026-08-24T00:59:00.001000+00:00"	"119"	"120"	"49"	"65"	"77"	"93"	"1"	"1"
"61"	"dns"	"10.70.0.66"	"40060"	"10.70.0.53"	"53"	"udp"	"1787533200.0"	"1787533200.001"	"2026-08-24T01:00:00+00:00"	"2026-08-24T01:00:00.001000+00:00"	"121"	"122"	"49"	"65"	"77"	"93"	"1"	"1"
"62"	"dns"	"10.70.0.66"	"40061"	"10.70.0.53"	"53"	"udp"	"1787533260.0"	"1787533260.001"	"2026-08-24T01:01:00+00:00"	"2026-08-24T01:01:00.001000+00:00"	"123"	"124"	"49"	"65"	"77"	"93"	"1"	"1"
"63"	"dns"	"10.70.0.66"	"40062"	"10.70.0.53"	"53"	"udp"	"1787533320.0"	"1787533320.001"	"2026-08-24T01:02:00+00:00"	"2026-08-24T01:02:00.001000+00:00"	"125"	"126"	"49"	"65"	"77"	"93"	"1"	"1"
"64"	"dns"	"10.70.0.66"	"40063"	"10.70.0.53"	"53"	"udp"	"1787533380.0"	"1787533380.001"	"2026-08-24T01:03:00+00:00"	"2026-08-24T01:03:00.001000+00:00"	"127"	"128"	"49"	"65"	"77"	"93"	"1"	"1"
"65"	"dns"	"10.70.0.66"	"40064"	"10.70.0.53"	"53"	"udp"	"1787533440.0"	"1787533440.001"	"2026-08-24T01:04:00+00:00"	"2026-08-24T01:04:00.001000+00:00"	"129"	"130"	"49"	"65"	"77"	"93"	"1"	"1"
"66"	"dns"	"10.70.0.66"	"40065"	"10.70.0.53"	"53"	"udp"	"1787533500.0"	"1787533500.001"	"2026-08-24T01:05:00+00:00"	"2026-08-24T01:05:00.001000+00:00"	"131"	"132"	"49"	"65"	"77"	"93"	"1"	"1"
"67"	"dns"	"10.70.0.66"	"40066"	"10.70.0.53"	"53"	"udp"	"1787533560.0"	"1787533560.001"	"2026-08-24T01:06:00+00:00"	"2026-08-24T01:06:00.001000+00:00"	"133"	"134"	"49"	"65"	"77"	"93"	"1"	"1"
"68"	"dns"	"10.70.0.66"	"40067"	"10.70.0.53"	"53"	"udp"	"1787533620.0"	"1787533620.001"	"2026-08-24T01:07:00+00:00"	"2026-08-24T01:07:00.001000+00:00"	"135"	"136"	"49"	"65"	"77"	"93"	"1"	"1"
"69"	"dns"	"10.70.0.66"	"40068"	"10.70.0.53"	"53"	"udp"	"1787533680.0"	"1787533680.001"	"2026-08-24T01:08:00+00:00"	"2026-08-24T01:08:00.001000+00:00"	"137"	"138"	"49"	"65"	"77"	"93"	"1"	"1"
"70"	"dns"	"10.70.0.66"	"40069"	"10.70.0.53"	"53"	"udp"	"1787533740.0"	"1787533740.001"	"2026-08-24T01:09:00+00:00"	"2026-08-24T01:09:00.001000+00:00"	"139"	"140"	"49"	"65"	"77"	"93"	"1"	"1"
"71"	"dns"	"10.70.0.66"	"40070"	"10.70.0.53"	"53"	"udp"	"1787533800.0"	"1787533800.001"	"2026-08-24T01:10:00+00:00"	"2026-08-24T01:10:00.001000+00:00"	"141"	"142"	"49"	"65"	"77"	"93"	"1"	"1"
"72"	"dns"	"10.70.0.66"	"40071"	"10.70.0.53"	"53"	"udp"	"1787533860.0"	"1787533860.001"	"2026-08-24T01:11:00+00:00"	"2026-08-24T01:11:00.001000+00:00"	"143"	"144"	"49"	"65"	"77"	"93"	"1"	"1"
"73"	"dns"	"10.70.0.66"	"40072"	"10.70.0.53"	"53"	"udp"	"1787533920.0"	"1787533920.001"	"2026-08-24T01:12:00+00:00"	"2026-08-24T01:12:00.001000+00:00"	"145"	"146"	"49"	"65"	"77"	"93"	"1"	"1"
"74"	"dns"	"10.70.0.66"	"40073"	"10.70.0.53"	"53"	"udp"	"1787533980.0"	"1787533980.001"	"2026-08-24T01:13:00+00:00"	"2026-08-24T01:13:00.001000+00:00"	"147"	"148"	"49"	"65"	"77"	"93"	"1"	"1"
"75"	"dns"	"10.70.0.66"	"40074"	"10.70.0.53"	"53"	"udp"	"1787534040.0"	"1787534040.001"	"2026-08-24T01:14:00+00:00"	"2026-08-24T01:14:00.001000+00:00"	"149"	"150"	"49"	"65"	"77"	"93"	"1"	"1"
"76"	"dns"	"10.70.0.66"	"40075"	"10.70.0.53"	"53"	"udp"	"1787534100.0"	"1787534100.001"	"2026-08-24T01:15:00+00:00"	"2026-08-24T01:15:00.001000+00:00"	"151"	"152"	"49"	"65"	"77"	"93"	"1"	"1"
"77"	"dns"	"10.70.0.66"	"40076"	"10.70.0.53"	"53"	"udp"	"1787534160.0"	"1787534160.001"	"2026-08-24T01:16:00+00:00"	"2026-08-24T01:16:00.001000+00:00"	"153"	"154"	"49"	"65"	"77"	"93"	"1"	"1"
"78"	"dns"	"10.70.0.66"	"40077"	"10.70.0.53"	"53"	"udp"	"1787534220.0"	"1787534220.001"	"2026-08-24T01:17:00+00:00"	"2026-08-24T01:17:00.001000+00:00"	"155"	"156"	"49"	"65"	"77"	"93"	"1"	"1"
"79"	"dns"	"10.70.0.66"	"40078"	"10.70.0.53"	"53"	"udp"	"1787534280.0"	"1787534280.001"	"2026-08-24T01:18:00+00:00"	"2026-08-24T01:18:00.001000+00:00"	"157"	"158"	"49"	"65"	"77"	"93"	"1"	"1"
"80"	"dns"	"10.70.0.66"	"40079"	"10.70.0.53"	"53"	"udp"	"1787534340.0"	"1787534340.001"	"2026-08-24T01:19:00+00:00"	"2026-08-24T01:19:00.001000+00:00"	"159"	"160"	"49"	"65"	"77"	"93"	"1"	"1"
"81"	"dns"	"10.70.0.66"	"40080"	"10.70.0.53"	"53"	"udp"	"1787534400.0"	"1787534400.001"	"2026-08-24T01:20:00+00:00"	"2026-08-24T01:20:00.001000+00:00"	"161"	"162"	"49"	"65"	"77"	"93"	"1"	"1"
"82"	"dns"	"10.70.0.66"	"40081"	"10.70.0.53"	"53"	"udp"	"1787534460.0"	"1787534460.001"	"2026-08-24T01:21:00+00:00"	"2026-08-24T01:21:00.001000+00:00"	"163"	"164"	"49"	"65"	"77"	"93"	"1"	"1"
"83"	"dns"	"10.70.0.66"	"40082"	"10.70.0.53"	"53"	"udp"	"1787534520.0"	"1787534520.001"	"2026-08-24T01:22:00+00:00"	"2026-08-24T01:22:00.001000+00:00"	"165"	"166"	"49"	"65"	"77"	"93"	"1"	"1"
"84"	"dns"	"10.70.0.66"	"40083"	"10.70.0.53"	"53"	"udp"	"1787534580.0"	"1787534580.001"	"2026-08-24T01:23:00+00:00"	"2026-08-24T01:23:00.001000+00:00"	"167"	"168"	"49"	"65"	"77"	"93"	"1"	"1"
"85"	"dns"	"10.70.0.66"	"40084"	"10.70.0.53"	"53"	"udp"	"1787534640.0"	"1787534640.001"	"2026-08-24T01:24:00+00:00"	"2026-08-24T01:24:00.001000+00:00"	"169"	"170"	"49"	"65"	"77"	"93"	"1"	"1"
"86"	"dns"	"10.70.0.66"	"40085"	"10.70.0.53"	"53"	"udp"	"1787534700.0"	"1787534700.001"	"2026-08-24T01:25:00+00:00"	"2026-08-24T01:25:00.001000+00:00"	"171"	"172"	"49"	"65"	"77"	"93"	"1"	"1"
"87"	"dns"	"10.70.0.66"	"40086"	"10.70.0.53"	"53"	"udp"	"1787534760.0"	"1787534760.001"	"2026-08-24T01:26:00+00:00"	"2026-08-24T01:26:00.001000+00:00"	"173"	"174"	"49"	"65"	"77"	"93"	"1"	"1"
"88"	"dns"	"10.70.0.66"	"40087"	"10.70.0.53"	"53"	"udp"	"1787534820.0"	"1787534820.001"	"2026-08-24T01:27:00+00:00"	"2026-08-24T01:27:00.001000+00:00"	"175"	"176"	"49"	"65"	"77"	"93"	"1"	"1"
"89"	"dns"	"10.70.0.66"	"40088"	"10.70.0.53"	"53"	"udp"	"1787534880.0"	"1787534880.001"	"2026-08-24T01:28:00+00:00"	"2026-08-24T01:28:00.001000+00:00"	"177"	"178"	"49"	"65"	"77"	"93"	"1"	"1"
"90"	"dns"	"10.70.0.66"	"40089"	"10.70.0.53"	"53"	"udp"	"1787534940.0"	"1787534940.001"	"2026-08-24T01:29:00+00:00"	"2026-08-24T01:29:00.001000+00:00"	"179"	"180"	"49"	"65"	"77"	"93"	"1"	"1"
"91"	"dns"	"10.70.0.66"	"40090"	"10.70.0.53"	"53"	"udp"	"1787535000.0"	"1787535000.001"	"2026-08-24T01:30:00+00:00"	"2026-08-24T01:30:00.001000+00:00"	"181"	"182"	"49"	"65"	"77"	"93"	"1"	"1"
"92"	"dns"	"10.70.0.66"	"40091"	"10.70.0.53"	"53"	"udp"	"1787535060.0"	"1787535060.001"	"2026-08-24T01:31:00+00:00"	"2026-08-24T01:31:00.001000+00:00"	"183"	"184"	"49"	"65"	"77"	"93"	"1"	"1"
"93"	"dns"	"10.70.0.66"	"40092"	"10.70.0.53"	"53"	"udp"	"1787535120.0"	"1787535120.001"	"2026-08-24T01:32:00+00:00"	"2026-08-24T01:32:00.001000+00:00"	"185"	"186"	"49"	"65"	"77"	"93"	"1"	"1"
"94"	"dns"	"10.70.0.66"	"40093"	"10.70.0.53"	"53"	"udp"	"1787535180.0"	"1787535180.001"	"2026-08-24T01:33:00+00:00"	"2026-08-24T01:33:00.001000+00:00"	"187"	"188"	"49"	"65"	"77"	"93"	"1"	"1"
"95"	"dns"	"10.70.0.66"	"40094"	"10.70.0.53"	"53"	"udp"	"1787535240.0"	"1787535240.001"	"2026-08-24T01:34:00+00:00"	"2026-08-24T01:34:00.001000+00:00"	"189"	"190"	"49"	"65"	"77"	"93"	"1"	"1"
"96"	"dns"	"10.70.0.66"	"40095"	"10.70.0.53"	"53"	"udp"	"1787535300.0"	"1787535300.001"	"2026-08-24T01:35:00+00:00"	"2026-08-24T01:35:00.001000+00:00"	"191"	"192"	"49"	"65"	"77"	"93"	"1"	"1"
"97"	"dns"	"10.70.0.66"	"40096"	"10.70.0.53"	"53"	"udp"	"1787535360.0"	"1787535360.001"	"2026-08-24T01:36:00+00:00"	"2026-08-24T01:36:00.001000+00:00"	"193"	"194"	"49"	"65"	"77"	"93"	"1"	"1"
"98"	"dns"	"10.70.0.66"	"40097"	"10.70.0.53"	"53"	"udp"	"1787535420.0"	"1787535420.001"	"2026-08-24T01:37:00+00:00"	"2026-08-24T01:37:00.001000+00:00"	"195"	"196"	"49"	"65"	"77"	"93"	"1"	"1"
"99"	"dns"	"10.70.0.66"	"40098"	"10.70.0.53"	"53"	"udp"	"1787535480.0"	"1787535480.001"	"2026-08-24T01:38:00+00:00"	"2026-08-24T01:38:00.001000+00:00"	"197"	"198"	"49"	"65"	"77"	"93"	"1"	"1"
"100"	"dns"	"10.70.0.66"	"40099"	"10.70.0.53"	"53"	"udp"	"1787535540.0"	"1787535540.001"	"2026-08-24T01:39:00+00:00"	"2026-08-24T01:39:00.001000+00:00"	"199"	"200"	"49"	"65"	"77"	"93"	"1"	"1"
"101"	"dns"	"10.70.0.66"	"40100"	"10.70.0.53"	"53"	"udp"	"1787535600.0"	"1787535600.001"	"2026-08-24T01:40:00+00:00"	"2026-08-24T01:40:00.001000+00:00"	"201"	"202"	"49"	"65"	"77"	"93"	"1"	"1"
"102"	"dns"	"10.70.0.66"	"40101"	"10.70.0.53"	"53"	"udp"	"1787535660.0"	"1787535660.001"	"2026-08-24T01:41:00+00:00"	"2026-08-24T01:41:00.001000+00:00"	"203"	"204"	"49"	"65"	"77"	"93"	"1"	"1"
